english,bulgarian,chinese_(simplified),czech,danish,dutch,finnish,french,german,greek,hindi,hungarian,italian,japanese,korean,norwegian,polish,portuguese,punjabi,romanian,russian,spanish,swedish,thai,turkish,ukrainian,vietnamese
arabic,арабски,阿拉伯,arabština,arabisk,Arabisch,arabialainen,arabe,Arabisch,αραβικός,अरबी,arab,Arabo,アラビア語,아라비아 말,arabisk,arabski,árabe,ਅਰਬੀ,arabic,арабский,Arábica,arabisk,ภาษาอาหรับ,Arapça,арабський,tiếng Ả Rập
bulgarian,български,保加利亚语,bulharský,Bulgarsk,Bulgaars,bulgarialainen,bulgare,bulgarisch,Βούλγαρος,बल्गेरियाई,bolgár,bulgaro,ブルガリア,불가리아 사람,bulgarsk,bułgarski,búlgaro,ਬੁਲਗਾਰੀਅਨ,bulgară,болгарский,búlgaro,bulgarisk,ชาวบัลแกเรีย,Bulgarca,болгарський,Bulgaria
chinese_(simplified),опростен китайски,简体中文,zjednodušená čínština,Kinesisk forenklet,versimpeld Chinees,yksinkertaistettu kiina,chinois simplifié),vereinfachtes Chinesisch),απλοποιημένα Κινέζικα),सरलीकृत चीनी),kínai_ (egyszerűsített),cinese semplificato),中国語（簡体字）,중국어 (간체),forenklet kinesisk),uproszczony chiński),chinês simplificado),ਚੀਨੀ_ (ਸਰਲੀਕ੍ਰਿਤ),chineză simplificată),китайский упрощенный),chino simplificado),Förenklad kinesiska),Chinese_ (ง่าย),basitleştirilmiş Çince),Китайський_ (спрощений),tiếng Trung_ (đơn giản hóa)
chinese_(traditional),традиционен китайски,中国传统的,Číňan (tradiční),Kinesisk_ (traditionel),Chinese traditionele,kiinalainen perinteinen),Chinois (Traditionnel),chinesische Tradition),Παραδοσιακά κινέζικα),चीनी पारंपरिक),Kínai (hagyományos),cinese tradizionale),中国の伝統的な）,중국 전통),tradisjonell kinesisk),chiński tradycyjny),chinês tradicional),ਚੀਨੀ_ (ਰਵਾਇਤੀ),tradițional chinezesc),китайский традиционный),chino tradicional),traditionell Kinesisk),จีน _ (ดั้งเดิม),Çin geleneği),Китайський традиційний),truyền thống Trung Hoa)
czech,Чех,捷克,čeština,Tjekkisk,Tsjechisch,tšekin,tchèque,Tschechisch,Τσέχος,चेक,cseh,ceco,チェコ,체코 사람,Tsjekkisk,Czech,tcheco,ਚੈੱਕ,ceh,Чешский,checo,tjeckisk,ภาษาเช็ก,Çek,чеський,Séc
danish,датски,丹麦语,dánština,dansk,Deens,Tanskan kieli,danois,dänisch,δανικός,दानिश,dán,danese,デンマーク語,덴마크 말,dansk,duński,dinamarquês,ਡੈੱਨਮਾਰਕੀ,danez,датский,danés,dansk,เกี่ยวกับเดนมาร์ก,Danimarkalı,датський,người Đan Mạch
dutch,холандски,荷兰,holandský,hollandsk,Nederlands,Hollannin kieli,Néerlandais,niederländisch,Ολλανδός,डच,holland,olandese,オランダの,네덜란드 사람,nederlandsk,holenderski,holandês,ਡੱਚ,olandez,голландский,holandés,holländsk,ชาวดัตช์,Flemenkçe,голландський,Hà Lan
finnish,Финландски,芬兰,Finštinu,finsk,Fins,Suomalainen,finlandais,finnisch,φινλανδικός,फिनिश,finn,finlandese,フィンランド語,핀란드,finsk,fiński,finlandês,ਫਿਨਿਸ਼,finlandeză,финский,finlandés,finska,ภาษาฟินแลนด์,Fince,фінський,Tiếng Phần Lan
french,Френски,法语,francouzština,fransk,frans,Ranskan kieli,Français,französisch,γαλλική γλώσσα,फ्रांसीसी,Francia,francese,フランス語,프랑스 국민,fransk,Francuski,francês,ਫ੍ਰੈਂਚ,limba franceza,французский,francés,franska,ภาษาฝรั่งเศส,Fransızca,французький,người Pháp
german,Немски,德语,Němec,tysk,duits,Saksan kieli,Allemand,Deutsch,Γερμανός,जर्मन,német,Tedesco,ドイツ人,독일 사람,tysk,Niemiecki,alemão,ਜਰਮਨ,limba germana,Немецкий,alemán,tysk,ชาวเยอรมัน,Almanca,німецький,tiếng Đức
greek,Гръцки,希腊语,řecký,græsk,Grieks,kreikka,grec,griechisch,Ελληνικά,ग्रीक,görög,greco,ギリシャ語,그리스 어,gresk,grecki,grego,ਯੂਨਾਨੀ,grecesc,греческий,griego,grekisk,กรีก,Yunan,грецький,người Hy Lạp
hindi,хинди,印地语,hindština,Hindi,Hindi,hindi,hindi,Hindi,Χίντι,हिंदी,hindi,hindi,ヒンディー語,힌디 어,Hindi,hinduski,hindi,ਹਿੰਦੀ,hindi,хинди,hindi,hindi,ภาษาฮินดี,Hintçe,хінді,Tiếng Hindi
hungarian,Унгарски,匈牙利,maďarský,ungarsk,Hongaars,Unkarin kieli,hongrois,ungarisch,ουγγρικός,हंगरी,Magyar,ungherese,ハンガリー,헝가리 인,ungarsk,język węgierski,húngaro,ਹੰਗਰੀਅਨ,maghiar,Венгерский,húngaro,ungerska,ชาวฮังการี,Macarca,угорський,người Hungary
italian,Италиански,意大利人,italština,italiensk,Italiaans,italialainen,italien,Italienisch,ιταλικός,इतालवी,olasz,italiano,イタリアの,이탈리아 사람,italiensk,Włoski,italiano,ਇਤਾਲਵੀ,Italiană,Итальянский,italiano,italienare,อิตาลี,İtalyan,італійський,người Ý
japanese,Японски,日本人,japonský,Japansk,Japans,japanilainen,Japonais,japanisch,Ιαπωνικά,जापानी,japán,giapponese,日本,일본어,japansk,język japoński,japonês,ਜਪਾਨੀ,japonez,Японский,japonés,japansk,ญี่ปุ่น,Japonca,японський,tiếng Nhật
korean,корейски,韩国人,korejština,Koreansk,Koreaans,Korealainen,coréen,Koreanisch,κορεάτης,कोरियाई,koreai,coreano,韓国語,한국인,Koreansk,koreański,coreano,ਕੋਰੀਅਨ,coreeană,Корейский,coreano,koreansk,เกาหลี,Koreli,корейський,Hàn Quốc
norwegian,Норвежки,挪威,Norwegian,Norsk,Noors,Norjan kieli,norvégien,norwegisch,Νορβηγός,norwegian,norvég,norvegese,ノルウェー語,노르웨이 인,norsk,norweski,norueguês,ਨਾਰਵੇਜੀਅਨ,norvegian,Норвежский,noruego,norsk,นอร์เวย์,Norveççe,норвезький,Na Uy
polish,полски,抛光,polština,polere,Pools,kiillottaa,polonais,Polieren,στίλβωση,पॉलिश,fényesít,polacco,研磨,광택,pusse,polski,polonês,ਪੋਲਿਸ਼,lustrui,лак,polaco,putsa,ขัด,Lehçe,польська,đánh bóng
portuguese,португалски,葡萄牙语,portugalština,portugisisk,Portugees,Portugalin kieli,Portugais,Portugiesisch,Πορτογαλικά,पुर्तगाली,portugál,portoghese,ポルトガル語,포르투갈 인,portugisisk,portugalski,português,ਪੁਰਤਗਾਲੀ,Portugheză,португальский,portugués,portugisisk,ชาวโปรตุเกส,Portekizce,португальський,Bồ Đào Nha
punjabi,Пенджаби,旁遮普,Punjabi,Punjabi,Punjabi,punjabi,punjabi,Punjabi,Πουντζάμπι,पंजाबी,pandzsábi,Punjabi,パンジャブ,펀 자브,Punjabi,Pendżab,Punjabi,ਪੰਜਾਬੀ,Punjabi,пенджаби,punjabi,punjabi,ปัญจาบ,Punjabi,пенджабі,Punjabi
romanian,румънски,罗马尼亚人,rumunština,Rumænsk,Roemeense,romanialainen,roumain,rumänisch,ρουμανικός,रोमानियाई,román,rumeno,ルーマニア人,루마니아 사람,rumensk,rumuński,romena,ਰੋਮਾਨੀਆ,Română,румынский,rumano,rumänsk,เกี่ยวกับโรมาเนีย,Romanya,румунський,Rumani
russian,Руски,俄语,ruština,Russisk,Russisch,Venäjän kieli,russe,Russisch,Ρωσική,रूसी,orosz,russo,ロシア,러시아인,russisk,Rosyjski,russo,ਰੂਸੀ,Rusă,русский,ruso,rysk,ชาวรัสเซีย,Rusça,російський,tiếng Nga
spanish,испански,西班牙语,španělština,spansk,Spaans,Espanja,Espagnol,Spanisch,Ισπανικά,स्पैनिश,spanyol,spagnolo,スペイン語,스페인의,spansk,hiszpański,espanhol,ਸਪੈਨਿਸ਼,Spaniolă,испанский,español,spansk,เกี่ยวกับภาษาสเปน,İspanyol,іспанська мова,người Tây Ban Nha
swedish,шведски,瑞典,švédský,svensk,Zweeds,Ruotsin kieli,suédois,Schwedisch,Σουηδικά,स्वीडिश,svéd,svedese,スウェーデンの,스웨덴어,svensk,szwedzki,sueco,ਸਵੀਡਿਸ਼,suedez,шведский,sueco,svenska,ภาษาสวีเดน,İsveççe,шведський,Thụy Điển
thai,Тайландски,泰国,Thai,Thai,Thais,thaimaalainen,thaïlandais,Thai,Ταϊλάνδης,थाई,thaiföldi,tailandese,タイ,태국,thai,tajski,tailandês,ਥਾਈ,thailandez,тайский,tailandés,thailändare,แบบไทย,Tayland,тайський,Thái
turkish,Турски,土耳其,turečtina,tyrkisk,Turks,turkkilainen,turc,Türkisch,τούρκικος,तुर्की,török,Turco,トルコ語,터키,tyrkisk,turecki,turco,ਤੁਰਕੀ,turc,турецкий,turco,turkisk,ตุรกี,Türkçe,турецький,Thổ Nhĩ Kỳ
ukrainian,Украински,乌克兰,ukrajinština,ukrainsk,Oekraïens,ukrainalainen,ukrainien,ukrainisch,Ουκρανός,यूक्रेनी,ukrán,ucraino,ウクライナ人,우크라이나 인,Ukrainsk,ukraiński,ucraniano,ਉਪਭੋਗੀ ਦਾ ਉਚਾਰਨ,ucrainean,украинец,ucranio,ukrainare,ชาวยูเครน,Ukrayna,український,Ukraine
vietnamese,виетнамски,越南人,vietnamština,Vietnamesisk,Vietnamees,vietnam,vietnamien,Vietnamesisch,Βιετναμέζος,वियतनामी,vietnami,vietnamita,ベトナム人,베트남어,vietnamesisk,wietnamski,vietnamita,ਵੀਅਤਨਾਮੀ,vietnameză,вьетнамский,vietnamita,vietnamesisk,เวียดนาม,Vietnam,в'єтнамський,Tiếng Việt
english,Английски,英语,Angličtina,engelsk,Engels,Englanti,Anglais,Englisch,Αγγλικά,अंग्रेज़ी,angol,inglese,英語,영어,Engelsk,język angielski,inglês,ਅੰਗਰੇਜ਼ੀ,Engleză,английский,inglés,engelsk,ภาษาอังกฤษ,İngilizce,англійська мова,Tiếng Anh
quit game,напусни играта,退出游戏,ukončit hru,Afslut spil,stop met spel,lopeta peli,quitter le jeu,Spiel verlassen,σταμάτημα,गेम से बाहर निकलें,kilépni a játékból,abbandonare il gioco,ゲームをやめる,게임을 종료하십시오,Avslutt spill,zakończyć grę,desistir do jogo,ਖੇਡ ਨੂੰ ਛੱਡੋ,părăsește jocul,выйти из игры,salir del juego,avsluta spelet,ออกจากเกม,oyundan çık,кинути гру,thoát khỏi trò chơi
change language,смени езика,改变语言,změnit jazyk,skift sprog,Verander taal,Vaihda kieltä,changer de langue,Sprache ändern,άλλαξε γλώσσα,भाषा बदलें,Válts nyelvet,Cambia lingua,言語を変えてください,언어를 변경하십시오,skifte språk,Zmień język,mudar idioma,ਭਾਸ਼ਾ ਬਦਲੋ,Schimbați limbajul,изменение языка,cambiar idioma,ändra språk,เปลี่ยนภาษา,Dili değiştir,змінити мову,thay đổi ngôn ngữ
return,връщане,返回,vrátit se,Vend tilbage,opbrengst,palata,retour,zurückkehren,ΕΠΙΣΤΡΟΦΗ,वापस करना,Visszatérés,ritorno,戻る,반품,komme tilbake,powrót,retornar,ਵਾਪਸੀ,întoarcere,возвращаться,devolver,lämna tillbaka,กลับ,geri dönmek,повернення,trở lại
sfx volume:,SFX обем:,SFX卷：,svazek SFX:,SFX Volume:,SFX -volume:,SFX -tilavuus:,Volume SFX:,SFX Volumen:,Όγκος SFX:,SFX वॉल्यूम:,SFX kötet:,Volume SFX:,SFXボリューム：,SFX 볼륨 :,SFX -volum:,Tom SFX:,Volume SFX:,sfx ਵਾਲੀਅਮ:,Volumul SFX:,Том SFX:,Volumen SFX:,SFX -volym:,ปริมาณ SFX:,SFX hacmi:,Об'єм SFX:,Khối lượng SFX:
music volume:,Музикален обем:,音乐卷：,Svazek hudby:,Musikvolumen:,muziekvolume:,Musiikin äänenvoimakkuus:,volume de la musique:,Musiklautstärke:,Τόμος μουσικής:,संगीत की आवाज:,Zenei kötet:,Volume della musica:,音楽のボリューム：,음악 볼륨 :,Musikkvolum:,głośność muzyki:,volume da música:,ਸੰਗੀਤ ਵਾਲੀਅਮ:,Volumul muzicii:,Музыкальный том:,Volumen de la música:,musikvolym:,เสียงเพลง:,müzik sesi:,Музичний об'єм:,âm lượng nhạc:
ui scaling:,UI мащабиране:,UI缩放：,škálování uživatelského rozhraní:,UI -skalering:,UI -schaalverdeling:,UI -skaalaus:,Échelle d'interface utilisateur:,UI Scaling:,κλιμάκωση UI:,UI स्केलिंग:,UI méretezés:,ridimensionamento dell'interfaccia utente:,UIスケーリング：,UI 스케일링 :,UI -skalering:,Skalowanie interfejsu użytkownika:,escala da interface do usuário:,UI ਸਕੇਲਿੰਗ:,UI scalare:,масштабирование пользовательского интерфейса:,escalado de la interfaz de usuario:,UI -skalning:,การปรับขนาด UI:,UI ölçeklendirme:,Масштабування інтерфейсу:,ui tỷ lệ:
difficulty:,Трудност:,困难：,obtížnost:,vanskelighed:,Moeilijkheid:,Vaikeus:,difficulté:,Schwierigkeit:,δυσκολία:,कठिनाई:,nehézség:,difficoltà:,困難：,어려움:,vanskelighet:,trudność:,dificuldade:,ਮੁਸ਼ਕਲ:,dificultate:,Сложность:,dificultad:,svårighet:,ความยาก:,zorluk:,Складність:,khó khăn:
change language,смени езика,改变语言,změnit jazyk,skift sprog,Verander taal,Vaihda kieltä,changer de langue,Sprache ändern,άλλαξε γλώσσα,भाषा बदलें,Válts nyelvet,Cambia lingua,言語を変えてください,언어를 변경하십시오,skifte språk,Zmień język,mudar idioma,ਭਾਸ਼ਾ ਬਦਲੋ,Schimbați limbajul,изменение языка,cambiar idioma,ändra språk,เปลี่ยนภาษา,Dili değiştir,змінити мову,thay đổi ngôn ngữ
camera:,камера:,相机：,Fotoaparát:,kamera:,camera:,kamera:,caméra:,Kamera:,ΦΩΤΟΓΡΑΦΙΚΗ ΜΗΧΑΝΗ:,कैमरा:,kamera:,telecamera:,カメラ：,카메라:,kamera:,kamera:,Câmera:,ਕੈਮਰਾ:,aparat foto:,камера:,cámara:,kamera:,กล้อง:,kamera:,Камера:,Máy ảnh:
on,На,在,na,på,op,päällä,sur,An,επί,पर,tovább,SU,の上,~에,på,NA,sobre,'ਤੇ,pe,на,en,på,บน,Açık,на,TRÊN
off,изключване,离开,vypnuto,af,uit,vinossa,désactivé,aus,μακριά από,बंद,ki,spento,オフ,끄다,av,wyłączony,desligado,ਬੰਦ,OFF,выключенный,apagado,av,ปิด,kapalı,не вистачати,tắt
music by:,Музика от:,音乐作者：,hudba od:,musik af:,muziek door:,Musiikki:,musique par:,Musik von:,μουσική από:,संगीत दिया है:,zenéjét szerezte:,musica di:,音楽：,음악 : :,musikk av:,Muzyka stworzona przez:,música por:,ਸੰਗੀਤ ਦੁਆਰਾ ਸੰਗੀਤ:,muzica de:,Музыка от:,musica por:,musik av:,เพลงโดย:,bu şarkı ... tarafından:,Музика:,Âm nhạc của:
play,Игра,玩,hrát si,Spil,toneelstuk,pelata,jouer,spielen,παίζω,खेल,játék,giocare,遊ぶ,놀다,spille,grać,jogar,ਖੇਡੋ,Joaca,играть,jugar,spela,เล่น,oynamak,грати,chơi
settings,настройки,设置,Nastavení,Indstillinger,instellingen,asetukset,paramètres,Einstellungen,Ρυθμίσεις,समायोजन,beállítások,impostazioni,設定,설정,Innstillinger,Ustawienia,configurações,ਸੈਟਿੰਗਜ਼,setări,настройки,ajustes,inställningar,การตั้งค่า,Ayarlar,налаштування,Cài đặt
reroll,рерол,重读,Reroll,Reroll,herhalen,tehdä uudelleen,relancer,Umlebende,επαναπροσδιορίζω,Recipe: नुस्खा,retoll,reloll,再ロール,reroll,Reroll,Reroll,Rerroll,ਮੁੜ ਭਰੋ,Reroll,перелетать,revoltijo,omskriva,ร่อง,reroll,переробляти,reroll
locked during battle,заключен по време на битка,在战斗中锁定,uzamčený během bitvy,låst under kamp,Opgesloten tijdens de strijd,lukittu taistelun aikana,Verrouillé pendant la bataille,während des Kampfes verschlossen,Κλειδωμένο κατά τη διάρκεια της μάχης,लड़ाई के दौरान बंद,Bezárva a csata során,bloccato durante la battaglia,戦闘中にロックされています,전투 중에 잠겨 있습니다,låst under kamp,Zamknięty podczas bitwy,trancado durante a batalha,ਲੜਾਈ ਦੇ ਦੌਰਾਨ ਬੰਦ,blocat în timpul bătăliei,Заперт во время битвы,bloqueado durante la batalla,låst under striden,ล็อคระหว่างการต่อสู้,Savaş sırasında kilitli,замкнений під час бою,Bị khóa trong trận chiến
towers,Кули,塔,Věže,Tårne,torens,tornit,tours,Türme,πύργο,टावर्स,tornyok,torri,塔,탑,Tårn,Wieże,torres,ਟਾਵਰਜ਼,Turnuri,башни,torres,torn,หอคอย,kuleler,вежі,tháp
Wave,Вълна,海浪,Mávat,Bølge,Golf,Aalto,Vague,Welle,Κύμα,लहर,Hullám,Onda,波,파도,Bølge,Fala,Aceno,ਵੇਵ,Val,Волна,Ola,Vinka,คลื่น,Dalga,Махати,Sóng
Welcome to bugTDX,Добре дошли в Bugtdx,欢迎来到bugtdx,Vítejte v Bugtdx,Velkommen til Bugtdx,Welkom bij Bugtdx,Tervetuloa bugtdx,Bienvenue à Bugtdx,Willkommen bei Bugtdx,Καλώς ήλθατε στο bugtdx,Bugtdx में आपका स्वागत है,Üdvözöljük a bugtdx -ben,Benvenuti in bugtdx,Bugtdxへようこそ,Bugtdx에 오신 것을 환영합니다,Velkommen til BugTDX,Witamy w Bugtdx,Bem -vindo ao Bugtdx,ਬੱਗਟੈਡੈਕਸ ਵਿੱਚ ਤੁਹਾਡਾ ਸਵਾਗਤ ਹੈ,Bine ați venit la Bugtdx,Добро пожаловать в Bugtdx,Bienvenido a Bugtdx,Välkommen till bugtdx,ยินดีต้อนรับสู่ Bugtdx,Bugtdx'e hoş geldiniz,Ласкаво просимо до Bugtdx,Chào mừng bạn đến với Bugtdx
Enjoy the game :),Насладете се на играта :),玩的开心 ：）,Užij si hru :),Nyd spillet :),Geniet van het spel :),Nauti pelistä :),Apprécier le jeu :),Das Spiel genießen :),Απόλαυσε το παιχνίδι :),खेल का आनंद :),Élvezd a játékot :),Goditi il ​​gioco :),ゲームを楽しむ:),게임을 즐기십시오 :),Nyt spillet :),Ciesz się z gry :),Aproveite o jogo :),ਖੇਡ ਦਾ ਅਨੰਦ ਲਓ :),Bucură-te de joc :),Наслаждайся игрой :),Disfruta el juego :),Njut av spelet :),สนุกกับเกม :),Oyunun tadını Çıkar :),Насолоджуйтесь грою :),Thưởng thức các trò chơi :)
next wave,Следваща вълна,下一波,Další vlna,Næste bølge,volgende golf,seuraava aalto,prochaine vague,nächste Welle,επόμενο κύμα,अगली लहर,következőhullám,prossima onda,次の波,다음 물결,Neste bølge,Następna fala,próxima onda,ਅਗਲੀ ਲਹਿਰ,următorul val,Следующая волна,siguiente ola,nästa våg,คลื่นลูกต่อไป,Sonraki Dalga,Наступна хвиля,làn sóng tiếp theo
sell tower,Продава кула,出售塔,prodat věž,Sælg Tower,verkoop toren,myydä tornin,tour de vente,Turm verkaufen,πωλούν πύργο,बेचने वाला टॉवर,eladni torony,Vendi torre,タワーを販売します,탑 판매,Selg tårn,Sprzedaj wieżę,Torre de venda,ਟਾਵਰ ਵੇਚੋ,Vinde turn,продавать башню,vender torre,säljtorn,ขายหอคอย,Tower Sat,Продати вежу,Bán tháp
New Towers,Нови кули,新塔,Nové věže,Nye tårne,Nieuwe torens,Uudet tornit,Nouvelles tours,Neue Türme,Νέοι πύργοι,नए टावर्स,Új tornyok,Nuove torri,新しい塔,새로운 탑,Nye tårn,Nowe wieże,Novas torres,ਨਵੇਂ ਟਾਵਰ,Turnuri noi,Новые башни,Nuevas torres,Nya torn,หอคอยใหม่,Yeni Kuleler,Нові вежі,Tháp mới
(enter),(Въведете),（进入）,(Enter),(gå ind),(binnenkomen),(tulla sisään),(entrer),(eingeben),(εισαγω),(प्रवेश करना),(belép),(accedere),（入力）,(입력하다),(Tast inn),(Wchodzić),(digitar),(ਦਰਜ ਕਰੋ),(introduce),(входить),(ingresar),(stiga på),(เข้า),(girmek),(введіть),(đi vào)
(space),(пространство),（空间）,(prostor),(plads),(ruimte),(Avaruus),(espace),(Raum),(χώρος),(अंतरिक्ष),(hely),(spazio),（空）,(공간),(rom),(przestrzeń),(espaço),(ਸਪੇਸ),(spaţiu),(космос),(espacio),(Plats),(ช่องว่าง),(uzay),(простір),(không gian)
unit,мерна единица,单元,jednotka,enhed,eenheid,yksikkö,unité,Einheit,μονάδα,इकाई,Mértékegység,unità,ユニット,단위,enhet,jednostka,unidade,ਯੂਨਿਟ,unitate,единица,unidad,enhet,หน่วย,birim,одиниця,đơn vị
freeze,замръзва,冻结,zmrazit,fryse,bevriezen,jäädyttää,gel,einfrieren,πάγωμα,जमाना,fagy,congelare,氷結,꼭 매달리게 하다,fryse,zamrażać,congelar,ਫ੍ਰੀਜ਼,îngheţa,заморозить,congelar,frysa,แช่แข็ง,donmak,заморозити,đông cứng
unfreeze,Размразяване,解冻,uvolnit,frigøres,losmaken,vapauttaa,dégeler,entfärben,ξετυλίγω,अनफ़्रीज़,kiolvaszt,scongelare,凍結外,녹이다,frigjøre,odmrozić,descongelar,ਅਨਫ੍ਰੀਜ,Dezvoltare,размороженный,descongelar,fryser,สูดดม,çözmek,розморожувати,giải phóng
